game_id,Platform,g_company,game_n,genre,rating,release_date,price
410110,windows,Ink Stains Games,12 is Better Than 6,Action,8.47133758,2015-11-20,6.99
342580,windows,Jetdogs Studios,12 Labours of Hercules,Casual,9.387514723,2015-03-23,1.99
360640,windows,Jetdogs Studios,12 Labours of Hercules II: The Cretan Bull,Casual,8.977149075,2015-06-05,1.99
360650,windows,Jetdogs Studios,12 Labours of Hercules III: Girl Power,Casual,8.688915375,2015-08-07,1.99
396800,windows,Jetdogs Studios,12 Labours of Hercules IV: Mother Nature (Platinum Edition),Casual,8.803418803,2015-12-25,1.99
491330,windows,Jetdogs Studios,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),Casual,8.909774436,2016-06-17,1.99
567800,windows,Jetdogs Studios,12 Labours of Hercules VI: Race for Olympus (Platinum Edition),Casual,9.126984127,2016-12-21,1.99
938310,windows,Jetdogs Studios,12 Labours of Hercules VIII: How I Met Megara,Adventure,9,2018-12-26,2.09
529950,windows,Roman Uhlig,12 orbits,Action,8.663366337,2016-10-24,1.69
405180,windows,Nate Sanders,123 Slaughter Me Street,Action,6.334661355,2015-09-25,3.99
551190,windows,Nate Sanders,123 Slaughter Me Street 2,Gore,8.4,2016-10-31,5.19
862790,windows,Acalamity,13 Cycles,Indie,6.25,2019-03-21,5.19
342990,windows,House of Tales,15 Days,Adventure,3.366336634,2015-04-01,8.99
599090,windows,LiMAVR,15 Defense,Casual,5.875,2017-04-01,1.99
856350,windows,Studio48,15 seconds,Action,6.875,2018-05-31,0.79
375460,windows,Forever Entertainment S. A.,16bit Trader,Adventure,3.984647592,2015-06-04,1.99
422610,windows,HexWar Games,1775: Rebellion,Strategy,5.576923077,2016-09-29,18.99
855320,windows,Aoga Tech,18 Floors,Adventure,5.555555556,2018-07-04,11.39
514160,windows,SCS Software,18 Wheels of Steel: Across America,Simulation,8.793103448,2016-08-26,6.99
12520,windows,SCS Software,18 Wheels of Steel: American Long Haul,Racing,6.882022472,2008-01-29,6.99
514170,windows,SCS Software,18 Wheels of Steel: Convoy,Simulation,7.272727273,2016-09-02,6.99
362780,windows,ValuSoft,18 Wheels of Steel: Extreme Trucker 2,Simulation,6.756756757,2015-05-08,6.99
514180,windows,SCS Software,18 Wheels of Steel: Haulin’,Simulation,6.857142857,2016-09-09,6.99
877360,windows,КиКо,18+,Casual,6.590909091,2018-07-03,0.79
555370,windows,HexWar Games,1812: The Invasion of Canada,Strategy,6.363636364,2017-08-04,18.99
627950,windows,Amaterasu Software,1914: Prelude to Chaos,RPG,4.126984127,2017-05-08,0.79
470060,windows,Andrade Games,1917 - The Alien Invasion DX,Action,7.798165138,2016-06-10,3.99
513490,windows,BBC Media Applications Technologies Limited,1943 Berlin Blitz,Indie,9.448818898,2018-10-03,0.0
616750,windows,HandyGames,1943 Deadly Desert,Indie,9,2018-05-15,7.19
440810,windows,GameUS Inc,1943 Megami Strike,Action,4.444444444,2016-02-24,5.99
325470,windows,Wastelands Interactive,1953: NATO vs Warsaw Pact,Strategy,2.777777778,2014-12-04,14.99
255280,windows,Daedalic Entertainment,1954 Alcatraz,Adventure,7.285115304,2014-03-11,6.99
